Time,x,y,z
453.0,-385.71241948138464,-404.8890001414932,-396.40114627887357
454.0,-385.3081307558916,-406.98647015032896,-398.50760543785907
455.0,-384.88234117341835,-409.0867971875776,-400.60696952444806
456.0,-384.47273166557073,-411.1862291933809,-402.7104441033507
457.0,-384.0916858301657,-413.26852469847165,-404.83620267402597
458.0,-383.6567940923867,-415.37966836426045,-406.9228127475211
459.0,-383.2218652947464,-417.4725011961107,-409.0277801294329
460.0,-382.8274171053313,-419.55607241722817,-411.149840824229
461.0,-385.19164278656353,-420.4588824150885,-412.7608563536281
462.0,-387.55649817187646,-421.3600416521777,-414.37187188302727
463.0,-389.9321815826634,-422.25158297311714,-415.9722725843422
464.0,-392.3002376080096,-423.15301534359656,-417.57842648178587
465.0,-394.65618664220807,-424.05454990091476,-419.20223053099267
466.0,-397.00624728731157,-424.95477176223864,-420.83526928274665
467.0,-399.37779599917803,-425.84617831940426,-422.4418653916323
468.0,-401.73379035320795,-426.7209608280114,-424.0801712746756
469.0,-404.10120204456956,-427.6145869078056,-425.6916284764393
470.0,-406.4585627827235,-428.50441905773704,-427.3198327311809
471.0,-408.81552177456194,-429.39692055606344,-428.9471573411702
472.0,-411.2012871499572,-430.2955722000745,-430.52846970635346
473.0,-413.55586839229574,-431.1998827945521,-432.1527139989225
474.0,-415.9059938925141,-432.0846415462733,-433.79408905797385
475.0,-418.2712982327967,-432.9774721649779,-435.4090778703636
476.0,-420.6344635498602,-433.85585600394177,-437.0350826414745
477.0,-423.0001068463939,-434.7573154849609,-438.6447728593878
478.0,-425.36578255780506,-435.65075803408934,-440.25887906402437
479.0,-427.73011122643834,-436.5564454508346,-441.8681274133565
480.0,-430.10324295487464,-437.4531772053068,-443.46941375877077
481.0,-432.46389187173935,-438.35981817694835,-445.08351996340735
482.0,-434.8473105263217,-439.2623390641253,-446.66616697559874
483.0,-437.21885923818814,-440.1537456212909,-448.2727630844844
484.0,-439.57982159010476,-441.0619258003074,-449.8855450087612
485.0,-441.9627265991823,-441.980456807669,-451.4597319437306
486.0,-444.3297557218254,-442.8711076700505,-453.07339677073116
487.0,-446.70676587234766,-443.7787995820123,-454.6627105022748
488.0,-449.08733066388703,-444.6636507709647,-456.25956667823203
489.0,-451.46307291219597,-445.5590004880815,-457.85775241639226
490.0,-453.83863781773215,-446.43397979180196,-459.46744263430554
491.0,-456.21582541874625,-447.30861452792203,-461.07492301924253
492.0,-458.5929543485509,-448.19549557221325,-462.67576656698935
493.0,-460.94206733037055,-449.0565438259947,-464.3311408761129
494.0,-463.3143639150974,-449.9411503284947,-465.940389225445
495.0,-465.67705533632403,-450.82405447171686,-467.56463351801403
496.0,-468.0411408618096,-451.7088905325351,-469.18579506877484
497.0,-470.5207772497048,-452.7051952885048,-470.5491659710088
498.0,-472.9877739359465,-453.69492154494213,-471.9399820218907
499.0,-475.36389057272794,-454.61035956126784,-473.5261859705291
